Modelo,Tipo,R²,RMSE,MAE,R²_CV_Mean,R²_CV_Std,RMSE_CV_Mean
Ridge Regression,Baseline,0.9351006034861944,12646.480051794097,7916.226820954122,,,
Lasso Regression,Baseline,0.9350959614237356,12646.932326419997,7917.927521884149,,,
Lineal Múltiple (Test),Baseline,0.9350784977662434,12648.633659993115,7918.089714023131,,,
Elastic Net,Baseline,0.929288031133137,13200.664667690875,8360.427732647107,,,
LightGBM,Avanzado,0.9052386437944513,15457.199926378593,9695.346036559711,0.9388266582899701,0.024296800427133693,11267.027584526008
Lineal Simple (Test),Baseline,0.8993263480722887,15536.195097515621,12103.639963447056,,,
Random Forest,Avanzado,0.8964128639910659,16160.995275186948,10152.676836317365,0.917628985957653,0.03620730206983568,13044.067039757196
