Modelo,Tipo,R²_CV_Mean,R²_CV_Std,R²_CV_IC_Lower,R²_CV_IC_Upper,RMSE_CV_Mean,RMSE_CV_IC_Lower,RMSE_CV_IC_Upper,R²_Test,RMSE_Test,MAE_Test
LightGBM,Avanzado,0.9389125992547482,0.02144537377287824,0.9122846507129421,0.9655405477965544,11293.454372924498,8704.03810258696,13882.870643262037,0.9086935275594589,15172.808364016935,9447.216038691904
Random Forest,Avanzado,0.9237983058289615,0.033093470561720705,0.8827073348568567,0.9648892768010663,12549.407146226653,8623.576673583766,16475.23761886954,0.8920079835939477,16501.028543962733,10296.633770416798
