Modelo,Tipo,R²,RMSE,MAE,R²_CV_Mean,R²_CV_Std,RMSE_CV_Mean,R²_CI_Lower,R²_CI_Upper,RMSE_CI_Lower,RMSE_CI_Upper,MAE_CI_Lower,MAE_CI_Upper
Ridge Regression,Baseline,0.9351006034861944,12646.480051794097,7916.226820954122,,,,0.8892605727068776,0.9712964267701651,7921.634659171855,17919.909494055904,5925.390929340496,10318.079236149646
Lasso Regression,Baseline,0.9350959614237356,12646.932326419997,7917.927521884149,,,,0.88424848498931,0.9710257481930479,8066.445763503518,18385.782630308637,5970.451756324651,10539.672649111697
Lineal Múltiple (Test),Baseline,0.9350784977662434,12648.633659993115,7918.089714023131,,,,0.8863011224216549,0.9714097199085786,7893.448218253385,18073.736768709256,5815.916649736062,10442.183704924617
Elastic Net,Baseline,0.929288031133137,13200.664667690875,8360.427732647107,,,,0.8814159014642299,0.9686590367990503,8405.035419799702,18489.050685534727,6335.846710123386,10846.40753267395
LightGBM,Avanzado,0.9086935275594589,15172.808364016935,9447.216038691904,0.9389125992547482,0.02144537377287824,11293.454372924498,0.9122846507129421,0.9655405477965544,8704.03810258696,13882.870643262037,,
Lineal Simple (Test),Baseline,0.8993263480722887,15536.195097515621,12103.639963447056,,,,0.8541388757864999,0.9324864057447683,12507.674963235831,18508.251287489307,9970.83526326678,14296.766597300144
Random Forest,Avanzado,0.8920079835939477,16501.028543962733,10296.633770416798,0.9237983058289615,0.033093470561720705,12549.407146226653,0.8827073348568567,0.9648892768010663,8623.576673583766,16475.23761886954,,
